"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON", "comment", "blank", "total"
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\manage\transcription-view.tsx", "TypeScript JSX", 0, 224, 0, 0, 1, 16, 241
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\transcribe\transcription-upload-loading.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 2, 10
"c:\Programming\AI-Transcriptor\skriptor\src\features\dashboard\ui\transcribe\transcription-upload.tsx", "TypeScript JSX", 0, 253, 0, 0, 3, 19, 275
"c:\Programming\AI-Transcriptor\skriptor\src\features\landing\model\query.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Programming\AI-Transcriptor\skriptor\src\features\landing\ui\landing-header.tsx", "TypeScript JSX", 0, 201, 0, 0, 1, 12, 214
"c:\Programming\AI-Transcriptor\skriptor\src\features\landing\ui\landing-view.tsx", "TypeScript JSX", 0, 829, 0, 0, 67, 19, 915
"c:\Programming\AI-Transcriptor\skriptor\src\features\setting\model\query.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\Programming\AI-Transcriptor\skriptor\src\features\setting\ui\profile-form.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 14, 199
"c:\Programming\AI-Transcriptor\skriptor\src\features\setting\ui\profile-view.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 3, 19
"c:\Programming\AI-Transcriptor\skriptor\src\features\setting\ui\setting-tabs.tsx", "TypeScript JSX", 0, 120, 0, 0, 1, 9, 130
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-in\model\query.ts", "TypeScript", 25, 0, 0, 0, 0, 3, 28
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-in\model\schema.ts", "TypeScript", 6, 0, 0, 0, 0, 3, 9
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-in\ui\sign-in-view.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 6, 133
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-out\model\query.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-out\ui\logout-button.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 1, 5
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-up\model\query.ts", "TypeScript", 32, 0, 0, 0, 3, 2, 37
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-up\model\schema.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Programming\AI-Transcriptor\skriptor\src\features\sign-up\ui\signup-view.tsx", "TypeScript JSX", 0, 145, 0, 0, 0, 9, 154
"c:\Programming\AI-Transcriptor\skriptor\src\features\verify-email\model\query.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Programming\AI-Transcriptor\skriptor\src\features\verify-email\ui\email-template.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 5, 102
"c:\Programming\AI-Transcriptor\skriptor\src\features\verify-email\ui\verify-email-view.tsx", "TypeScript JSX", 0, 275, 0, 0, 11, 30, 316
"c:\Programming\AI-Transcriptor\skriptor\src\hooks\use-mobile.ts", "TypeScript", 15, 0, 0, 0, 0, 5, 20
"c:\Programming\AI-Transcriptor\skriptor\src\hooks\use-toast.ts", "TypeScript", 157, 0, 0, 0, 3, 32, 192
"c:\Programming\AI-Transcriptor\skriptor\src\lib\auth-client.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"c:\Programming\AI-Transcriptor\skriptor\src\lib\auth.ts", "TypeScript", 67, 0, 0, 0, 0, 2, 69
"c:\Programming\AI-Transcriptor\skriptor\src\lib\email.ts", "TypeScript", 28, 0, 0, 0, 0, 5, 33
"c:\Programming\AI-Transcriptor\skriptor\src\lib\minio.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Programming\AI-Transcriptor\skriptor\src\lib\redis.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Programming\AI-Transcriptor\skriptor\src\lib\utils.ts", "TypeScript", 24, 0, 0, 0, 0, 4, 28
"c:\Programming\AI-Transcriptor\skriptor\src\middleware.ts", "TypeScript", 22, 0, 0, 0, 4, 7, 33
"Total", "-", 500, 6441, 117, 21, 127, 703, 7909
